timestamp,nuclear,hydro,ccgt,biofuel,import,export
11/03/2021 20:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/03/2021 21:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/03/2021 21:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/03/2021 22:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/03/2021 22:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/03/2021 23:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/03/2021 23:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/04/2021 00:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/04/2021 00:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/04/2021 01:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/04/2021 01:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/04/2021 02:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/04/2021 02:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/04/2021 03:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/04/2021 03:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/04/2021 04:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/04/2021 04:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/04/2021 05:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/04/2021 05:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/04/2021 06:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/04/2021 06:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/04/2021 07:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/04/2021 07:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/04/2021 08:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/04/2021 08:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/04/2021 09:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/04/2021 09:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/04/2021 10:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/04/2021 10:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/04/2021 11:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/04/2021 11:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/04/2021 12:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/04/2021 12:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/04/2021 13:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/04/2021 13:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/04/2021 14:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/04/2021 14:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/04/2021 15:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/04/2021 15:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/04/2021 16:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/04/2021 16:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/04/2021 17:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/04/2021 17:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/04/2021 18:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/04/2021 18:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/04/2021 19:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/04/2021 19:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/04/2021 20:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/04/2021 20:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/04/2021 21:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/04/2021 21:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/04/2021 22:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/04/2021 22:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/04/2021 23:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/04/2021 23:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/05/2021 00:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/05/2021 00:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/05/2021 01:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/05/2021 01:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/05/2021 02:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/05/2021 02:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/05/2021 03:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/05/2021 03:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/05/2021 04:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/05/2021 04:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/05/2021 05:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/05/2021 05:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/05/2021 06:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/05/2021 06:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/05/2021 07:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/05/2021 07:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/05/2021 08:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/05/2021 08:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/05/2021 09:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/05/2021 09:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/05/2021 10:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/05/2021 10:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/05/2021 11:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/05/2021 11:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/05/2021 12:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/05/2021 12:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/05/2021 13:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/05/2021 13:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/05/2021 14:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/05/2021 14:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/05/2021 15:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/05/2021 15:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/05/2021 16:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/05/2021 16:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/05/2021 17:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/05/2021 17:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/05/2021 18:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/05/2021 18:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/05/2021 19:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/05/2021 19:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/05/2021 20:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/05/2021 20:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/05/2021 21:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/05/2021 21:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/05/2021 22:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/05/2021 22:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/05/2021 23:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/05/2021 23:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/06/2021 00:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/06/2021 00:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/06/2021 01:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/06/2021 01:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/06/2021 02:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/06/2021 02:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/06/2021 03:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/06/2021 03:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/06/2021 04:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/06/2021 04:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/06/2021 05:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/06/2021 05:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/06/2021 06:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/06/2021 06:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/06/2021 07:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/06/2021 07:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/06/2021 08:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/06/2021 08:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/06/2021 09:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/06/2021 09:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/06/2021 10:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/06/2021 10:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/06/2021 11:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/06/2021 11:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/06/2021 12:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/06/2021 12:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/06/2021 13:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/06/2021 13:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/06/2021 14:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/06/2021 14:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/06/2021 15:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/06/2021 15:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/06/2021 16:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/06/2021 16:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/06/2021 17:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/06/2021 17:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/06/2021 18:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/06/2021 18:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/06/2021 19:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/06/2021 19:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/06/2021 20:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/06/2021 20:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/06/2021 21:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/06/2021 21:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/06/2021 22:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/06/2021 22:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/06/2021 23:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/06/2021 23:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/07/2021 00:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/07/2021 00:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/07/2021 01:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/07/2021 01:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/07/2021 02:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/07/2021 02:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/07/2021 03:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/07/2021 03:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/07/2021 04:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/07/2021 04:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/07/2021 05:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/07/2021 05:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/07/2021 06:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/07/2021 06:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/07/2021 07:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/07/2021 07:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/07/2021 08:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/07/2021 08:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/07/2021 09:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/07/2021 09:30,2000.0,2000.0,150.0,80.0,3391.0,0.0
11/07/2021 10:00,2000.0,2000.0,150.0,80.0,3252.0,0.0
11/07/2021 10:30,2000.0,2000.0,150.0,80.0,3308.2394,0.0
11/07/2021 11:00,2000.0,2000.0,110.0,80.0,3500.0,0.0
11/07/2021 11:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/07/2021 12:00,2000.0,2000.0,110.0,80.0,3100.0,0.0
11/07/2021 12:30,2000.0,2000.0,80.0,80.0,3500.0,0.0
11/07/2021 13:00,2000.0,2000.0,40.0,80.0,3108.0378,0.0
11/07/2021 13:30,2000.0,2000.0,0.0,80.0,2708.0378,0.0
11/07/2021 14:00,2000.0,2000.0,30.0,80.0,2469.1967,0.0
11/07/2021 14:30,2000.0,2000.0,70.0,80.0,2817.5899,0.0
11/07/2021 15:00,2000.0,2000.0,110.0,80.0,3217.5899,0.0
11/07/2021 15:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/07/2021 16:00,2000.0,2000.0,150.0,80.0,3302.0,0.0
11/07/2021 16:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/07/2021 17:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/07/2021 17:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/07/2021 18:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/07/2021 18:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/07/2021 19:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/07/2021 19:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/07/2021 20:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/07/2021 20:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/07/2021 21:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/07/2021 21:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/07/2021 22:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/07/2021 22:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/07/2021 23:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/07/2021 23:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/08/2021 00:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/08/2021 00:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/08/2021 01:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/08/2021 01:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/08/2021 02:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/08/2021 02:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/08/2021 03:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/08/2021 03:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/08/2021 04:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/08/2021 04:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/08/2021 05:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/08/2021 05:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/08/2021 06:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/08/2021 06:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/08/2021 07:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/08/2021 07:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/08/2021 08:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/08/2021 08:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/08/2021 09:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/08/2021 09:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/08/2021 10:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/08/2021 10:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/08/2021 11:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/08/2021 11:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/08/2021 12:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/08/2021 12:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/08/2021 13:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/08/2021 13:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/08/2021 14:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/08/2021 14:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/08/2021 15:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/08/2021 15:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/08/2021 16:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/08/2021 16:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/08/2021 17:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/08/2021 17:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/08/2021 18:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/08/2021 18:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/08/2021 19:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/08/2021 19:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/08/2021 20:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/08/2021 20:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/08/2021 21:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/08/2021 21:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/08/2021 22:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/08/2021 22:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/08/2021 23:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/08/2021 23:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/09/2021 00:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/09/2021 00:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/09/2021 01:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/09/2021 01:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/09/2021 02:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/09/2021 02:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/09/2021 03:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/09/2021 03:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/09/2021 04:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/09/2021 04:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/09/2021 05:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/09/2021 05:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/09/2021 06:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/09/2021 06:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/09/2021 07:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/09/2021 07:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/09/2021 08:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/09/2021 08:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/09/2021 09:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/09/2021 09:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/09/2021 10:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/09/2021 10:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/09/2021 11:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/09/2021 11:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/09/2021 12:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/09/2021 12:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/09/2021 13:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/09/2021 13:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/09/2021 14:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/09/2021 14:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/09/2021 15:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/09/2021 15:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/09/2021 16:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/09/2021 16:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/09/2021 17:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/09/2021 17:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/09/2021 18:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/09/2021 18:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/09/2021 19:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/09/2021 19:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/09/2021 20:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/09/2021 20:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/09/2021 21:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/09/2021 21:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/09/2021 22:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/09/2021 22:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/09/2021 23:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/09/2021 23:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/10/2021 00:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/10/2021 00:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/10/2021 01:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/10/2021 01:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/10/2021 02:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/10/2021 02:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/10/2021 03:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/10/2021 03:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/10/2021 04:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/10/2021 04:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/10/2021 05:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/10/2021 05:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/10/2021 06:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/10/2021 06:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/10/2021 07:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/10/2021 07:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/10/2021 08:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/10/2021 08:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/10/2021 09:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/10/2021 09:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/10/2021 10:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/10/2021 10:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/10/2021 11:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/10/2021 11:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/10/2021 12:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/10/2021 12:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/10/2021 13:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/10/2021 13:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/10/2021 14:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/10/2021 14:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/10/2021 15:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/10/2021 15:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/10/2021 16:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/10/2021 16:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/10/2021 17:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/10/2021 17:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/10/2021 18:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/10/2021 18:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/10/2021 19:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/10/2021 19:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/10/2021 20:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/10/2021 20:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/10/2021 21:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/10/2021 21:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/10/2021 22:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/10/2021 22:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/10/2021 23:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/10/2021 23:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/11/2021 00:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/11/2021 00:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/11/2021 01:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/11/2021 01:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/11/2021 02:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/11/2021 02:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/11/2021 03:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/11/2021 03:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/11/2021 04:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/11/2021 04:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/11/2021 05:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/11/2021 05:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/11/2021 06:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/11/2021 06:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/11/2021 07:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/11/2021 07:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/11/2021 08:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/11/2021 08:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/11/2021 09:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/11/2021 09:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/11/2021 10:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/11/2021 10:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/11/2021 11:00,2000.0,2000.0,150.0,80.0,3500.0,0.0
11/11/2021 11:30,2000.0,2000.0,150.0,80.0,3500.0,0.0
